Index  Temperature[C]  Zr[at%]         Nb[at%]         Mo[at%]         Cr[at%]         Al[at%]         Ti[at%]         Ta[at%]         W[at%]          Time[h]         MassChange[mg.cm2](Real) MassChange[mg.cm2](Predicted)
90     1200.00000      0.00000         0.00000         0.00000         37.90000        0.00000         12.20000        49.90000        0.00000         10.48663        11.75071               11.94099              
91     1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        10.00000        22.50000        0.00000         12.49321        4.72835                4.81291               
92     1200.00000      0.00000         0.00000         0.00000         80.00000        0.00000         0.00000         20.00000        0.00000         14.49820        13.96099               14.61774              
93     1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         17.49249        2.91954                2.91985               
94     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         2.75287         2.49461                4.13773               
95     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         9.44892         3.38925                3.97313               
96     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         21.85027        -0.28263               -0.21026              
97     1000.00000      0.00000         0.00000         0.00000         31.00000        9.00000         31.00000        31.00000        0.00000         100.00000       5.86451                7.30000               
98     1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         53.50350        84.50858               85.76129              
99     1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         17.85157        0.76897                0.99808               
100    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         38.51351        7.60531                7.85896               
101    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         30.48048        60.67387               61.52489              
102    1000.00000      0.00000         25.00000        25.00000        0.00000         0.00000         0.00000         25.00000        25.00000        10.00000        59.58096               59.70000              
103    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         9.55500         3.37861                3.99793               
104    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         4.45445         18.94949               17.82748              
105    1200.00000      30.90000        34.20000        0.00000         0.00000         0.00000         0.00000         34.40000        0.00000         8.49249         199.59377              200.57338             
106    1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        22.50000        10.00000        0.00000         22.49830        9.48183                9.96800               
107    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         47.49750        79.01203               80.19098              
108    1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        22.50000        10.00000        0.00000         1.49171         1.22392                1.23457               
109    1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        30.49088        7.15367                7.35275               
110    1200.00000      0.00000         0.00000         0.00000         32.60000        0.00000         36.80000        30.60000        0.00000         0.00000         -0.70992               0.00000               
111    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         57.50751        87.95631               89.24630              
112    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         9.65140         3.35993                4.02492               
113    1200.00000      0.00000         0.00000         0.00000         31.00000        0.00000         22.50000        46.50000        0.00000         21.50150        159.73820              161.47327             
114    1200.00000      0.00000         0.00000         0.00000         31.00000        0.00000         22.50000        46.50000        0.00000         10.48663        122.29676              122.92292             
115    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         4.47948         0.54755                0.75375               
116    1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         21.50150        5.66298                5.76578               
117    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         1.65537         2.30236                2.14757               
118    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         9.24650         3.37520                3.93384               
119    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         2.45245         14.34156               13.02627              
120    1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.35256                0.00000               
121    1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        0.48048         0.86633                0.84398               
122    1100.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         16.48048        1.77018                1.91063               
123    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         14.04900        -0.36251               -0.19189              
124    1200.00000      0.00000         0.00000         21.25000        21.25000        15.00000        0.21250         21.25000        0.00000         3.49917         2.34804                2.41741               
125    1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        28.50851        7.03065                7.21436               
126    1200.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         20.49437        4.37875                4.92042               
127    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         14.25161        -0.32644               -0.17553              
128    1000.00000      0.00000         0.00000         20.00000        20.00000        20.00000        20.00000        0.00000         20.00000        3.48348         2.87631                3.20863               
129    1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        10.00000        22.50000        0.00000         3.49454         2.55207                2.75670               
130    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         3.47848         0.38798                0.61536               
131    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         27.50250        4.84432                5.04996               
132    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         10.05623        3.14946                3.80454               
133    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         18.04467        0.81775                1.09065               
134    1200.00000      0.00000         0.00000         23.75000        23.75000        23.75000        23.75000        5.00000         0.00000         0.00000         0.23677                0.00000               
135    1200.00000      0.00000         0.00000         21.25000        21.25000        15.00000        0.21250         21.25000        0.00000         18.49765        4.30443                4.61490               
136    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        0.00000         25.00000        0.00000         8.50376         1.07950                1.14117               
